,library_name,type_of_elimination,source,ulc_member,reason_for_stopping_fines,lat,long,policy_notes,official_policy_link,state,fine_free_date,fine_free_date_notes,amnesty,amnesty_notes,literature,ffl_timestamp,library_url
1,Abilene Public Library,Everyone,https://www.bigcountryhomepage.com/news/main-news/all-branches-of-the-abilene-public-library-will-stop-fining-for-overdue-items-starting-oct-1/1480588788,FALSE,"""A lot of people don't want to use books from the library if they're getting fines charged to them.""",32.450937,-99.735723,other library systems started a new policy about five or six years ago that has shown to be effective.,NA,TX,10/1/18,NA,NA,NA,NA,NA,https://www.abilenetx.gov/city-hall/departments/community-services/library
2,Adair County Public Library,No Fines,,NA,NA,NA,NA,NA,NA,KY,NA,NA,NA,NA,NA,1/25/19 0:28,https://www.adaircountypubliclibrary.com
4,Addison Public Library,No Fines,"https://www.railslibraries.info/news/133550, https://www.addisonlibrary.org/overdue-fines",NA,NA,NA,NA,NA,https://www.addisonlibrary.org/overdue-fines,IL,11/1/16,NA,NA,NA,NA,7/22/19 10:35,addisonlibrary.org
5,Alachua County Library District,No Fines,"No, we have not charged late fees for many years",NA,NA,NA,NA,NA,NA,FL,NA,NA,NA,NA,NA,5/23/19 4:33,www.aclib.us
6,Alameda County Library,Everyone,https://guides.aclibrary.org/blog/Fine-Free-for-All,TRUE,"Studies have shown that library fines create significant barriers to library access, especially for families on fixed incomes and among children and teens.",NA,NA,NA,NA,CA,7/1/19,NA,NA,NA,NA,NA,https://www.aclibrary.org/home
7,Albany County Public Library,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",,NA,NA,NA,https://www.acplwy.org/wp-content/uploads/POLICYMANUAL-2018.pdf,"The library only charges overdue fees for DVDs, video games, board games, National Parks passes, and iPads. There are no fees on children�s items, or books. The overdue fee for DVDs and video games is $0.25 per day. Board games and National Parks passes have a $2.00 per day fee, and iPads are $5.00 per day.",NA,WY,NA,NA,NA,NA,NA,1/26/19 1:51,https://www.acplwy.org/
8,Albany Public Library,Everyone,https://www.albanypubliclibrary.org/blog/apl-to-eliminate-late-fines-for-books-media/,FALSE,"Albany Public Library is joining the ranks of libraries nationwide that are removing fines for overdue items to make it easier for people to borrow books, DVDS, and other materials for education and entertainment,” said Scott C. Jarzombek, APL executive director.  “Late fines are a poor incentive for people to bring books back on time. And, they keep people who are unable to pay those fines away from the library. By eliminating late fines, we hope to bring people back to the library and make it easier for them to borrow and use our collection,”",NA,NA,NA,NA,NY,1/1/19,NA,NA,NA,NA,NA,https://www.albanypubliclibrary.org/
9,Albert Wisner Public Library,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",,NA,NA,NA,NA,NA,https://www.albertwisnerlibrary.org/content/library-fines-and-fees,NY,9/1/18,NA,NA,NA,NA,7/22/19 9:49,www.albertwisnerlibrary.org
11,Albuquerque and Bernalillo County Library System,Everyone,https://abqlibrary.org/librarycards/fineprint,TRUE,NA,35.086142,-106.653215,Fine Free for over 25 years,NA,NM,NA,NA,NA,NA,NA,NA,https://abqlibrary.org/home
12,Alfred Box of Books Library,No Fines,https://www.nyla.org/max/4DCGI/cms/review.html?Action=CMS_Document&DocID=2664&MenuKey=eBulletin,NA,NA,NA,NA,NA,NA,NY,NA,NA,NA,NA,NA,1/25/19 11:12,www.alfredboxofbookslibrary.org
